row_index,domain_id,source_value,source_id,ground_truth_concept_id,ground_truth_concept_name,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
10,Condition,chronic tonsillar hypertrophy,11,28457,hypertrophy of tonsils,"[{""concept_id"": 28457, ""concept_name"": ""Hypertrophy of tonsils"", ""score"": 0.9292, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""46689006"", ""standard_concept"": ""S""}, {""concept_id"": 4148121, ""concept_name"": ""Tonsil and/or adenoid hypertrophy"", ""score"": 0.9047, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""266343004"", ""standard_concept"": ""S""}, {""concept_id"": 31598, ""concept_name"": ""Hypertrophy of tonsils AND adenoids"", ""score"": 0.9005, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""66622006"", ""standard_concept"": ""S""}, {""concept_id"": 4103504, ""concept_name"": ""Enlarged tonsil"", ""score"": 0.8749, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""301471002"", ""standard_concept"": ""S""}]",s_or_c,28457.0,Hypertrophy of tonsils,0.9292,SNOMED,S,
11,Condition,Esophageal varices with bleeding,12,28779,bleeding esophageal varices,"[{""concept_id"": 28779, ""concept_name"": ""Bleeding esophageal varices"", ""score"": 0.9693, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""17709002"", ""standard_concept"": ""S""}, {""concept_id"": 37162855, ""concept_name"": ""Bleeding esophageal varices due to hepatic fibrosis"", ""score"": 0.8954, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1197696009"", ""standard_concept"": ""S""}, {""concept_id"": 37162853, ""concept_name"": ""Bleeding esophageal varices due to toxic liver disease"", ""score"": 0.8941, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1197694007"", ""standard_concept"": ""S""}, {""concept_id"": 37162857, ""concept_name"": ""Bleeding esophageal varices due to alcoholic liver disease"", ""score"": 0.8337, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1197698005"", ""standard_concept"": ""S""}, {""concept_id"": 37162856, ""concept_name"": ""Bleeding esophageal varices due to primary biliary cholangitis"", ""score"": 0.8236, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1197697000"", ""standard_concept"": ""S""}]",s_or_c,28779.0,Bleeding esophageal varices,0.9693,SNOMED,S,
12,Condition,oral candidiasis,13,29735,candidiasis of mouth,"[{""concept_id"": 29735, ""concept_name"": ""Candidiasis of mouth"", ""score"": 0.9832, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""79740000"", ""standard_concept"": ""S""}, {""concept_id"": 42600110, ""concept_name"": ""Yeast infection of mouth"", ""score"": 0.9117, ""vocabulary_id"": ""SNOMED Veterinary"", ""domain_id"": ""Condition"", ""concept_code"": ""41891000009100"", ""standard_concept"": ""S""}, {""concept_id"": 37168907, ""concept_name"": ""Candidiasis of oropharynx"", ""score"": 0.9027, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1287345003"", ""standard_concept"": ""S""}, {""concept_id"": 4142836, ""concept_name"": ""Candidiasis of mouth and esophagus"", ""score"": 0.9003, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""266154004"", ""standard_concept"": ""S""}, {""concept_id"": 4122211, ""concept_name"": ""Oral mucosal fungal disease"", ""score"": 0.8757, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""235068006"", ""standard_concept"": ""S""}]",s_or_c,29735.0,Candidiasis of mouth,0.9832,SNOMED,S,
13,Condition,cervical sprain,14,30234,neck sprain,"[{""concept_id"": 36713170, ""concept_name"": ""Cervical spine sprain"", ""score"": 0.9693, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""36241000119108"", ""standard_concept"": ""S""}, {""concept_id"": 30234, ""concept_name"": ""Neck sprain"", ""score"": 0.9587, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""209557005"", ""standard_concept"": ""S""}, {""concept_id"": 4018506, ""concept_name"": ""Cervical anterior longitudinal ligament sprain"", ""score"": 0.9303, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""209559008"", ""standard_concept"": ""S""}, {""concept_id"": 40492292, ""concept_name"": ""Acute cervical sprain"", ""score"": 0.8839, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""445760005"", ""standard_concept"": ""S""}, {""concept_id"": 4236724, ""concept_name"": ""Injury to ligament of cervical spine"", ""score"": 0.8461, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""405561009"", ""standard_concept"": ""S""}]",s_or_c,36713170.0,Cervical spine sprain,0.9693,SNOMED,S,
14,Condition,Panhypopituitarism,15,30365,panhypopituitarism,"[{""concept_id"": 30365, ""concept_name"": ""Panhypopituitarism"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""32390006"", ""standard_concept"": ""S""}, {""concept_id"": 4254542, ""concept_name"": ""Hypopituitarism"", ""score"": 0.9438, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""74728003"", ""standard_concept"": ""S""}, {""concept_id"": 4029438, ""concept_name"": ""Panhypopituitarism - anterior and posterior"", ""score"": 0.8767, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237682009"", ""standard_concept"": ""S""}, {""concept_id"": 4194993, ""concept_name"": ""Secondary hypopituitarism"", ""score"": 0.8663, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""442001"", ""standard_concept"": ""S""}, {""concept_id"": 4034979, ""concept_name"": ""Partial hypopituitarism"", ""score"": 0.851, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237685006"", ""standard_concept"": ""S""}]",s_or_c,30365.0,Panhypopituitarism,1.0,SNOMED,S,
15,Condition,Gastroesophageal reflux disease with esophagitis,16,30437,gastro-esophageal reflux disease with esophagitis,"[{""concept_id"": 30437, ""concept_name"": ""Gastro-esophageal reflux disease with esophagitis"", ""score"": 0.994, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""266433003"", ""standard_concept"": ""S""}, {""concept_id"": 4148054, ""concept_name"": ""Gastroesophagitis"", ""score"": 0.7783, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""35023000"", ""standard_concept"": ""S""}, {""concept_id"": 4342626, ""concept_name"": ""Non-reflux esophagitis"", ""score"": 0.7666, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""235598006"", ""standard_concept"": ""S""}, {""concept_id"": 30753, ""concept_name"": ""Esophagitis"", ""score"": 0.7545, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""16761005"", ""standard_concept"": ""S""}]",s_or_c,30437.0,Gastro-esophageal reflux disease with esophagitis,0.994,SNOMED,S,
16,Condition,diabetes insipidus,17,30968,diabetes insipidus,[],s_or_c,,,,,,
17,Condition,Dysphagia,18,31317,dysphagia,"[{""concept_id"": 31317, ""concept_name"": ""Dysphagia"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40739000"", ""standard_concept"": ""S""}, {""concept_id"": 45757559, ""concept_name"": ""Pharyngeal dysphagia"", ""score"": 0.9667, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""21101000119105"", ""standard_concept"": ""S""}, {""concept_id"": 440530, ""concept_name"": ""Oropharyngeal dysphagia"", ""score"": 0.9449, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""71457002"", ""standard_concept"": ""S""}, {""concept_id"": 4254223, ""concept_name"": ""Esophageal dysphagia"", ""score"": 0.9426, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40890009"", ""standard_concept"": ""S""}]",s_or_c,31317.0,Dysphagia,1.0,SNOMED,S,
18,Condition,Tonsillar cancer,19,31509,primary malignant neoplasm of tonsil,"[{""concept_id"": 4158909, ""concept_name"": ""Tonsil carcinoma"", ""score"": 0.9394, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""274085008"", ""standard_concept"": ""S""}, {""concept_id"": 4181339, ""concept_name"": ""Malignant tumor of tonsil"", ""score"": 0.9382, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363393007"", ""standard_concept"": ""S""}, {""concept_id"": 36525463, ""concept_name"": ""Epithelioma, malignant of tonsil, NOS"", ""score"": 0.9001, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""8011/3-C09.9"", ""standard_concept"": ""S""}, {""concept_id"": 4180788, ""concept_name"": ""Malignant tumor of tonsillar fossa"", ""score"": 0.8756, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""363394001"", ""standard_concept"": ""S""}]",s_or_c,4158909.0,Tonsil carcinoma,0.9394,SNOMED,S,
19,Condition,Hypertrophy of tonsils and adenoids,20,31598,hypertrophy of tonsils and adenoids,"[{""concept_id"": 31598, ""concept_name"": ""Hypertrophy of tonsils AND adenoids"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""66622006"", ""standard_concept"": ""S""}, {""concept_id"": 4148121, ""concept_name"": ""Tonsil and/or adenoid hypertrophy"", ""score"": 0.9801, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""266343004"", ""standard_concept"": ""S""}, {""concept_id"": 4048191, ""concept_name"": ""Enlargement of tonsil or adenoid"", ""score"": 0.968, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""232419008"", ""standard_concept"": ""S""}, {""concept_id"": 28457, ""concept_name"": ""Hypertrophy of tonsils"", ""score"": 0.9628, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""46689006"", ""standard_concept"": ""S""}, {""concept_id"": 4223797, ""concept_name"": ""Hyperplasia of tonsils AND adenoids"", ""score"": 0.942, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40453004"", ""standard_concept"": ""S""}]",s_or_c,31598.0,Hypertrophy of tonsils AND adenoids,1.0,SNOMED,S,
20,Condition,Laryngeal disease,21,31602,disorder of the larynx,"[{""concept_id"": 31602, ""concept_name"": ""Disorder of the larynx"", ""score"": 0.9725, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""60600009"", ""standard_concept"": ""S""}, {""concept_id"": 44806785, ""concept_name"": ""Laryngeal dysfunction"", ""score"": 0.8956, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""813831000000106"", ""standard_concept"": ""S""}, {""concept_id"": 4155904, ""concept_name"": ""Larynx finding"", ""score"": 0.8568, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""271748007"", ""standard_concept"": ""S""}, {""concept_id"": 4115254, ""concept_name"": ""Lesion of larynx"", ""score"": 0.8418, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""301210007"", ""standard_concept"": ""S""}, {""concept_id"": 254669, ""concept_name"": ""Disorder of vocal cord"", ""score"": 0.8251, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""57781000"", ""standard_concept"": ""S""}]",s_or_c,31602.0,Disorder of the larynx,0.9725,SNOMED,S,
21,Condition,Nausea,22,31967,nausea,"[{""concept_id"": 31967, ""concept_name"": ""Nausea"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""422587007"", ""standard_concept"": ""S""}, {""concept_id"": 27674, ""concept_name"": ""Nausea and vomiting"", ""score"": 0.8885, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""16932000"", ""standard_concept"": ""S""}, {""concept_id"": 441408, ""concept_name"": ""Vomiting"", ""score"": 0.8781, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""422400008"", ""standard_concept"": ""S""}, {""concept_id"": 4247894, ""concept_name"": ""Increased nausea and vomiting"", ""score"": 0.8538, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""73335002"", ""standard_concept"": ""S""}]",s_or_c,31967.0,Nausea,1.0,SNOMED,S,
22,Condition,Stiffness of joint,23,72404,joint stiffness,"[{""concept_id"": 72404, ""concept_name"": ""Joint stiffness"", ""score"": 0.988, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""84445001"", ""standard_concept"": ""S""}, {""concept_id"": 4220937, ""concept_name"": ""Morning stiffness - joint"", ""score"": 0.845, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40144003"", ""standard_concept"": ""S""}, {""concept_id"": 4154764, ""concept_name"": ""Stiffness"", ""score"": 0.8255, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""271587009"", ""standard_concept"": ""S""}, {""concept_id"": 4174284, ""concept_name"": ""Immobility stiffness"", ""score"": 0.8021, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""277892007"", ""standard_concept"": ""S""}, {""concept_id"": 4025950, ""concept_name"": ""Stiff limbs"", ""score"": 0.785, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""225610004"", ""standard_concept"": ""S""}]",s_or_c,72404.0,Joint stiffness,0.988,SNOMED,S,
23,Condition,Scoliosis,24,72418,scoliosis deformity of spine,"[{""concept_id"": 72418, ""concept_name"": ""Scoliosis deformity of spine"", ""score"": 0.9296, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""298382003"", ""standard_concept"": ""S""}, {""concept_id"": 4069937, ""concept_name"": ""Postural scoliosis"", ""score"": 0.9101, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""203645000"", ""standard_concept"": ""S""}, {""concept_id"": 4006163, ""concept_name"": ""Acquired scoliosis"", ""score"": 0.8448, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""111266001"", ""standard_concept"": ""S""}, {""concept_id"": 3174503, ""concept_name"": ""Paralytic scoliosis"", ""score"": 0.8263, ""vocabulary_id"": ""Nebraska Lexicon"", ""domain_id"": ""Condition"", ""concept_code"": ""19380001000004101"", ""standard_concept"": ""S""}]",s_or_c,72418.0,Scoliosis deformity of spine,0.9296,SNOMED,S,
24,Condition,other type of benign breast neoplasm,25,72576,benign neoplasm of breast,"[{""concept_id"": 72576, ""concept_name"": ""Benign neoplasm of breast"", ""score"": 0.8581, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""269485000"", ""standard_concept"": ""S""}, {""concept_id"": 37208024, ""concept_name"": ""Benign neoplasm of left breast"", ""score"": 0.7584, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""350821000119101"", ""standard_concept"": ""S""}, {""concept_id"": 1075545, ""concept_name"": ""Benign neoplasm of central portion of breast"", ""score"": 0.7504, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1306361009"", ""standard_concept"": ""S""}]",s_or_c,72576.0,Benign neoplasm of breast,0.8581,SNOMED,S,
25,Condition,De Quervain Disease,26,73300,radial styloid tenosynovitis,[],s_or_c,,,,,,
