row_index,domain_id,source_value,source_id,ground_truth_baseline,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
10,Condition,rectal fissure,11,1,"[{""concept_id"": 1244353, ""concept_name"": ""Anorectal fissure"", ""score"": 0.8939, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1287371004"", ""standard_concept"": ""S""}, {""concept_id"": 76725, ""concept_name"": ""Anal fissure"", ""score"": 0.8627, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""30037006"", ""standard_concept"": ""S""}, {""concept_id"": 45757227, ""concept_name"": ""Congenital rectal fissure"", ""score"": 0.8263, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1085681000119102"", ""standard_concept"": ""S""}, {""concept_id"": 4057835, ""concept_name"": ""Chronic anal fissure"", ""score"": 0.8209, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""197152000"", ""standard_concept"": ""S""}, {""concept_id"": 4057381, ""concept_name"": ""Acute anal fissure"", ""score"": 0.8129, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""197151007"", ""standard_concept"": ""S""}]",s_or_c,1244353.0,Anorectal fissure,0.8939,SNOMED,S,
11,Procedure,tips procedure,12,1,"[{""concept_id"": 3183298, ""concept_name"": ""Bianchi procedure"", ""score"": 0.5835, ""vocabulary_id"": ""Nebraska Lexicon"", ""domain_id"": ""Procedure"", ""concept_code"": ""17070001000004100"", ""standard_concept"": ""S""}, {""concept_id"": 4231174, ""concept_name"": ""Lambrinudi operation"", ""score"": 0.5599, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""360351007"", ""standard_concept"": ""S""}, {""concept_id"": 40482202, ""concept_name"": ""Sano procedure"", ""score"": 0.5486, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""442123009"", ""standard_concept"": ""S""}, {""concept_id"": 4143503, ""concept_name"": ""Palma operation"", ""score"": 0.5304, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""265540006"", ""standard_concept"": ""S""}, {""concept_id"": 45769925, ""concept_name"": ""EMMETT technique"", ""score"": 0.5173, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""918831000000107"", ""standard_concept"": ""S""}]",s_or_c,3183298.0,Bianchi procedure,0.5835,Nebraska Lexicon,S,
12,Measurement,acid fast,13,1,"[{""concept_id"": 4005519, ""concept_name"": ""pH, free acid measurement"", ""score"": 0.584, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""121834004"", ""standard_concept"": ""S""}]",s_or_c,4005519.0,"pH, free acid measurement",0.584,SNOMED,S,
13,Observation,macrocytosis,14,1,"[{""concept_id"": 4248718, ""concept_name"": ""Macrocytosis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""72826005"", ""standard_concept"": ""S""}]",s_or_c,4248718.0,Macrocytosis,1.0,SNOMED,S,
14,Condition,generalized anxiety disorder,15,1,"[{""concept_id"": 434613, ""concept_name"": ""Generalized anxiety disorder"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""21897009"", ""standard_concept"": ""S""}, {""concept_id"": 442077, ""concept_name"": ""Anxiety disorder"", ""score"": 0.8803, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""197480006"", ""standard_concept"": ""S""}]",s_or_c,434613.0,Generalized anxiety disorder,1.0,SNOMED,S,
15,Procedure,head imaging,16,1,"[{""concept_id"": 40480925, ""concept_name"": ""Imaging of head"", ""score"": 0.9638, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""441875004"", ""standard_concept"": ""S""}, {""concept_id"": 40481383, ""concept_name"": ""Imaging of brain"", ""score"": 0.8554, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""441986001"", ""standard_concept"": ""S""}, {""concept_id"": 4136235, ""concept_name"": ""Radioisotope scan of head"", ""score"": 0.8306, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""32012009"", ""standard_concept"": ""S""}, {""concept_id"": 44789828, ""concept_name"": ""Diagnostic imaging of central nervous system"", ""score"": 0.8159, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""227191000000105"", ""standard_concept"": ""S""}, {""concept_id"": 36714941, ""concept_name"": ""Imaging of central nervous system"", ""score"": 0.8114, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""720364002"", ""standard_concept"": ""S""}]",s_or_c,40480925.0,Imaging of head,0.9638,SNOMED,S,
16,Measurement,tbili was elevated,17,1,"[{""concept_id"": 4249568, ""concept_name"": ""Alanine aminotransferase above reference range"", ""score"": 0.6247, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""409673008"", ""standard_concept"": ""S""}, {""concept_id"": 436238, ""concept_name"": ""Elevated level of transaminase and lactic acid dehydrogenase"", ""score"": 0.5844, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""274774002"", ""standard_concept"": ""S""}, {""concept_id"": 37018674, ""concept_name"": ""Aspartate transaminase level above reference range"", ""score"": 0.5778, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""160931000119108"", ""standard_concept"": ""S""}, {""concept_id"": 4088040, ""concept_name"": ""Urobilinogen level above reference range"", ""score"": 0.5699, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""24390000"", ""standard_concept"": ""S""}, {""concept_id"": 4171925, ""concept_name"": ""Gamma-glutamyl transferase above reference range"", ""score"": 0.5661, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""274782002"", ""standard_concept"": ""S""}]",s_or_c,4249568.0,Alanine aminotransferase above reference range,0.6247,SNOMED,S,
17,Observation,sprain,18,1,"[{""concept_id"": 4298490, ""concept_name"": ""Sprain"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""384709000"", ""standard_concept"": ""S""}, {""concept_id"": 4204672, ""concept_name"": ""Strain - lesion"", ""score"": 0.7918, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""308497004"", ""standard_concept"": ""S""}]",s_or_c,4298490.0,Sprain,1.0,SNOMED,S,
18,Procedure,proton beam irradiation,19,1,"[{""concept_id"": 4024005, ""concept_name"": ""External beam radiation therapy using protons"", ""score"": 0.9273, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""10611004"", ""standard_concept"": ""S""}, {""concept_id"": 717029, ""concept_name"": ""External beam, protons"", ""score"": 0.7941, ""vocabulary_id"": ""NAACCR"", ""domain_id"": ""Procedure"", ""concept_code"": ""1506@03"", ""standard_concept"": ""S""}, {""concept_id"": 717016, ""concept_name"": ""External beam, protons"", ""score"": 0.7941, ""vocabulary_id"": ""NAACCR"", ""domain_id"": ""Procedure"", ""concept_code"": ""1526@03"", ""standard_concept"": ""S""}, {""concept_id"": 717013, ""concept_name"": ""External beam, protons"", ""score"": 0.7941, ""vocabulary_id"": ""NAACCR"", ""domain_id"": ""Procedure"", ""concept_code"": ""1516@03"", ""standard_concept"": ""S""}, {""concept_id"": 4250900, ""concept_name"": ""External beam radiation therapy of 1 to 25 MEV (mega electronvolt) protons"", ""score"": 0.7389, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""74023000"", ""standard_concept"": ""S""}]",s_or_c,4024005.0,External beam radiation therapy using protons,0.9273,SNOMED,S,
19,Condition,enlarged cardiac silhouette,20,1,"[{""concept_id"": 42594265, ""concept_name"": ""Cardiac silhouette enlarged"", ""score"": 0.9599, ""vocabulary_id"": ""SNOMED Veterinary"", ""domain_id"": ""Condition"", ""concept_code"": ""289701000009101"", ""standard_concept"": ""S""}, {""concept_id"": 4188555, ""concept_name"": ""Markedly enlarged cardiac chamber"", ""score"": 0.7717, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""373128001"", ""standard_concept"": ""S""}, {""concept_id"": 4216844, ""concept_name"": ""Cardiac dilatation"", ""score"": 0.7559, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""71932004"", ""standard_concept"": ""S""}, {""concept_id"": 314658, ""concept_name"": ""Cardiomegaly"", ""score"": 0.7445, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""8186001"", ""standard_concept"": ""S""}, {""concept_id"": 40481310, ""concept_name"": ""Radiographic shadow of heart abnormal"", ""score"": 0.7097, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""441920005"", ""standard_concept"": ""S""}]",s_or_c,42594265.0,Cardiac silhouette enlarged,0.9599,SNOMED Veterinary,S,
20,Condition,inflammatory myopathy,21,1,"[{""concept_id"": 73001, ""concept_name"": ""Myositis"", ""score"": 0.9232, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""26889001"", ""standard_concept"": ""S""}, {""concept_id"": 42600330, ""concept_name"": ""Inflammation of skeletal muscle"", ""score"": 0.8944, ""vocabulary_id"": ""SNOMED Veterinary"", ""domain_id"": ""Condition"", ""concept_code"": ""44821000009100"", ""standard_concept"": ""S""}]",s_or_c,73001.0,Myositis,0.9232,SNOMED,S,
21,Procedure,bone marrow biopsy,22,1,"[{""concept_id"": 4120443, ""concept_name"": ""Bone marrow sampling"", ""score"": 0.8578, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""234326005"", ""standard_concept"": ""S""}, {""concept_id"": 4209298, ""concept_name"": ""Bone marrow biopsy, needle or trocar"", ""score"": 0.8491, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""56241004"", ""standard_concept"": ""S""}, {""concept_id"": 36303845, ""concept_name"": ""Guidance for biopsy of Bone marrow"", ""score"": 0.8394, ""vocabulary_id"": ""LOINC"", ""domain_id"": ""Procedure"", ""concept_code"": ""87014-7"", ""standard_concept"": ""S""}, {""concept_id"": 4119553, ""concept_name"": ""Non-surgical bone marrow biopsy"", ""score"": 0.8353, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""287550000"", ""standard_concept"": ""S""}, {""concept_id"": 42872667, ""concept_name"": ""Diagnostic extraction of bone marrow"", ""score"": 0.8287, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""450658007"", ""standard_concept"": ""S""}]",s_or_c,4120443.0,Bone marrow sampling,0.8578,SNOMED,S,
22,Measurement,normal white count,23,1,"[{""concept_id"": 4013538, ""concept_name"": ""White blood cell count within reference range"", ""score"": 0.8764, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""165507003"", ""standard_concept"": ""S""}, {""concept_id"": 4013992, ""concept_name"": ""Differential white cell count within reference range"", ""score"": 0.7402, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""165512002"", ""standard_concept"": ""S""}, {""concept_id"": 4306255, ""concept_name"": ""Neutrophil count within reference range"", ""score"": 0.7182, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""165516004"", ""standard_concept"": ""S""}, {""concept_id"": 320682, ""concept_name"": ""White blood cell number - finding"", ""score"": 0.7086, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""365630000"", ""standard_concept"": ""S""}, {""concept_id"": 608323, ""concept_name"": ""Granulocyte count within reference range"", ""score"": 0.7061, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""1157255008"", ""standard_concept"": ""S""}]",s_or_c,4013538.0,White blood cell count within reference range,0.8764,SNOMED,S,
23,Observation,benadryl,24,4,[],s_or_c,,,,,,
24,Observation,obstructed,25,4,"[{""concept_id"": 45769802, ""concept_name"": ""Obstructive morphology"", ""score"": 0.902, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""708530007"", ""standard_concept"": ""S""}, {""concept_id"": 4093906, ""concept_name"": ""Obstruction"", ""score"": 0.8876, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""26036001"", ""standard_concept"": ""S""}, {""concept_id"": 35821726, ""concept_name"": ""obstreperous"", ""score"": 0.8397, ""vocabulary_id"": ""UK Biobank"", ""domain_id"": ""Observation"", ""concept_code"": ""6314-562"", ""standard_concept"": ""S""}, {""concept_id"": 4280679, ""concept_name"": ""Intrinsic obstruction"", ""score"": 0.8198, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""6582001"", ""standard_concept"": ""S""}, {""concept_id"": 4219064, ""concept_name"": ""Extrinsic obstruction"", ""score"": 0.7828, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""82437005"", ""standard_concept"": ""S""}]",s_or_c,45769802.0,Obstructive morphology,0.902,SNOMED,S,
25,Measurement,elevated crp,26,1,"[{""concept_id"": 37108742, ""concept_name"": ""C-reactive protein above reference range"", ""score"": 0.6823, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""119971000119104"", ""standard_concept"": ""S""}, {""concept_id"": 439937, ""concept_name"": ""C-reactive protein outside reference range"", ""score"": 0.5869, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""166584001"", ""standard_concept"": ""S""}, {""concept_id"": 37208570, ""concept_name"": ""CRP (C reactive protein) mass concentration in plasma"", ""score"": 0.577, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""1106731000000101"", ""standard_concept"": ""S""}, {""concept_id"": 4048092, ""concept_name"": ""Serum C reactive protein level"", ""score"": 0.574, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""135842001"", ""standard_concept"": ""S""}, {""concept_id"": 4152991, ""concept_name"": ""Plasma C-reactive protein measurement"", ""score"": 0.5613, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Measurement"", ""concept_code"": ""270980008"", ""standard_concept"": ""S""}]",s_or_c,37108742.0,C-reactive protein above reference range,0.6823,SNOMED,S,
26,Procedure,manipulation,27,1,"[{""concept_id"": 4078521, ""concept_name"": ""Manipulation"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""19207007"", ""standard_concept"": ""S""}, {""concept_id"": 4178823, ""concept_name"": ""Manipulation procedure by method"", ""score"": 0.9267, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""363197003"", ""standard_concept"": ""S""}, {""concept_id"": 4216847, ""concept_name"": ""Physiatric manipulation"", ""score"": 0.9163, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""71937005"", ""standard_concept"": ""S""}, {""concept_id"": 4180773, ""concept_name"": ""Surgical manipulation procedure"", ""score"": 0.8969, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""363317007"", ""standard_concept"": ""S""}, {""concept_id"": 4219460, ""concept_name"": ""Active manipulation"", ""score"": 0.8899, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Procedure"", ""concept_code"": ""82124003"", ""standard_concept"": ""S""}]",s_or_c,4078521.0,Manipulation,1.0,SNOMED,S,
27,Condition,fluid overload,28,1,"[{""concept_id"": 4266976, ""concept_name"": ""Overhydration"", ""score"": 0.9262, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""61688009"", ""standard_concept"": ""S""}, {""concept_id"": 36715511, ""concept_name"": ""Edema due to fluid overload"", ""score"": 0.887, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""721210009"", ""standard_concept"": ""S""}, {""concept_id"": 434004, ""concept_name"": ""Hypervolemia"", ""score"": 0.8774, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""21639008"", ""standard_concept"": ""S""}, {""concept_id"": 4097871, ""concept_name"": ""Fluid imbalance"", ""score"": 0.848, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""190902006"", ""standard_concept"": ""S""}, {""concept_id"": 36717150, ""concept_name"": ""Fluid overload without edema"", ""score"": 0.8148, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""721163008"", ""standard_concept"": ""S""}]",s_or_c,4266976.0,Overhydration,0.9262,SNOMED,S,
28,Observation,verbal,29,4,"[{""concept_id"": 44803358, ""concept_name"": ""Non-verbal communication"", ""score"": 0.7923, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""720851000000100"", ""standard_concept"": ""S""}, {""concept_id"": 44803966, ""concept_name"": ""Communication"", ""score"": 0.7672, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""723591000000101"", ""standard_concept"": ""S""}, {""concept_id"": 4337391, ""concept_name"": ""Speaking"", ""score"": 0.7645, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""87335007"", ""standard_concept"": ""S""}, {""concept_id"": 606999, ""concept_name"": ""Communication function"", ""score"": 0.7601, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Observation"", ""concept_code"": ""1148960009"", ""standard_concept"": ""S""}, {""concept_id"": 37020695, ""concept_name"": ""Mode of communication"", ""score"": 0.7393, ""vocabulary_id"": ""LOINC"", ""domain_id"": ""Observation"", ""concept_code"": ""91878-9"", ""standard_concept"": ""S""}]",s_or_c,44803358.0,Non-verbal communication,0.7923,SNOMED,S,
